Metric,Period Type,Period,Policy Type,Issue policy,Task type,Task,Location,location_value,result
Legal requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Monaco,0
Legal requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Philippines,0
Legal requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Uruguay,0
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Albania,0
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Bangladesh,0
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Bolivia,0
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Brazil,0
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Chile,0
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Colombia,0
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Croatia,0
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Cyprus,0
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Denmark,0
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Ecuador,0
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Egypt,0
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Estonia,0
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Hungary,0
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,India,0
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Indonesia,0
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Ireland,0
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Jordan,0
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Kosovo,0
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Macedonia,0
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Malaysia,0
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Maldives,0
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Malta,0
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Moldova,0
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Monaco,0
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Paraguay,0
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Peru,0
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Philippines,0
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Poland,0
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Portugal,0
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Romania,0
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Serbia,0
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Slovenia,0
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Thailand,0
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Turkey,0
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Ukraine,0
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,United Arab Emirates,0
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Uruguay,0
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Albania,0
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Bolivia,0
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Cyprus,0
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Ecuador,0
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Egypt,0
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,India,0
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Indonesia,0
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Kosovo,0
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Macedonia,0
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Maldives,0
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Moldova,0
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Monaco,0
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Pakistan,0
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Philippines,0
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Portugal,0
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Serbia,0
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Thailand,0
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Turkey,0
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,United Arab Emirates,0
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Uruguay,0
Preservation request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Albania,0
Preservation request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Bangladesh,0
Preservation request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Bolivia,0
Preservation request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Egypt,0
Preservation request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Estonia,0
Preservation request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Finland,0
Preservation request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Hungary,0
Preservation request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,India,0
Preservation request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Indonesia,0
Preservation request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Israel,0
Preservation request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Jordan,0
Preservation request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Kosovo,0
Preservation request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Macedonia,0
Preservation request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Malaysia,0
Preservation request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Maldives,0
Preservation request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Malta,0
Preservation request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Moldova,0
Preservation request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Monaco,0
Preservation request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Nepal,0
Preservation request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Norway,0
Preservation request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Paraguay,0
Preservation request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Poland,0
Preservation request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Portugal,0
Preservation request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Serbia,0
Preservation request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Slovenia,0
Preservation request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Thailand,0
Preservation request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Turkey,0
Preservation request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,United Arab Emirates,0
Preservation request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Uruguay,0
Preservation requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Albania,0
Preservation requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Bangladesh,0
Preservation requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Bolivia,0
Preservation requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Egypt,0
Preservation requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Estonia,0
Preservation requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Finland,0
Preservation requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Hungary,0
Preservation requests,half-year,Jan-Jun 2022,all,all,all,all,Market,India,0
Preservation requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Indonesia,0
Preservation requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Israel,0
Preservation requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Jordan,0
Preservation requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Kosovo,0
Preservation requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Macedonia,0
Preservation requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Malaysia,0
Preservation requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Maldives,0
Preservation requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Malta,0
Preservation requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Moldova,0
Preservation requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Monaco,0
Preservation requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Nepal,0
Preservation requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Norway,0
Preservation requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Paraguay,0
Preservation requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Poland,0
Preservation requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Portugal,0
Preservation requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Serbia,0
Preservation requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Slovenia,0
Preservation requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Thailand,0
Preservation requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Turkey,0
Preservation requests,half-year,Jan-Jun 2022,all,all,all,all,Market,United Arab Emirates,0
Preservation requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Uruguay,0
Total emergency requests,half-year,Jan-Jun 2019,all,all,all,all,all,all,48
Total emergency requests,half-year,Jul-Dec 2019,all,all,all,all,all,all,70
Total emergency requests,half-year,Jan-Jun 2020,all,all,all,all,all,all,207
Total emergency requests,half-year,Jul-Dec 2020,all,all,all,all,all,all,409
Total emergency requests,half-year,Jan-Jun 2021,all,all,all,all,all,all,715
Total emergency requests,half-year,Jul-Dec 2021,all,all,all,all,all,all,682
Total emergency requests,half-year,Jan-Jun 2022,all,all,all,all,all,all,765
Total legal requests,half-year,Jan-Jun 2019,all,all,all,all,all,all,250
Total legal requests,half-year,Jul-Dec 2019,all,all,all,all,all,all,430
Total legal requests,half-year,Jan-Jun 2020,all,all,all,all,all,all,1561
Total legal requests,half-year,Jul-Dec 2020,all,all,all,all,all,all,765
Total legal requests,half-year,Jan-Jun 2021,all,all,all,all,all,all,1175
Total legal requests,half-year,Jul-Dec 2021,all,all,all,all,all,all,2714
Total legal requests,half-year,Jan-Jun 2022,all,all,all,all,all,all,4054
Total preservation requests,half-year,Jan-Jun 2022,all,all,all,all,all,all,1248
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Albania,5
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Argentina,4
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Australia,16
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Austria,4
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Bangladesh,2
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Belgium,2
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Bolivia,1
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Brazil,5
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Canada,41
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Chile,4
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Denmark,1
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Ecuador,1
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Egypt,1
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Finland,6
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,France,35
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Germany,69
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Greece,20
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Guatemala,13
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,India,1
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Indonesia,1
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Ireland,5
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Israel,37
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Italy,6
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Japan,27
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Jordan,3
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Kosovo,3
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Maldives,1
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Mexico,7
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Moldova,1
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Monaco,1
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Nepal,2
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Netherlands,6
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,New Zealand,4
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Norway,11
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Pakistan,9
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Paraguay,1
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Philippines,1
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Poland,7
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Romania,1
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Singapore,2
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,South Korea,1
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Spain,2
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Sweden,2
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Switzerland,4
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Ukraine,3
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,United Arab Emirates,1
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,United Kingdom,124
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,United States,334
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Uruguay,1
Emergency requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Albania,2
Emergency requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Argentina,4
Emergency requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Australia,11
Emergency requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Austria,4
Emergency requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Bangladesh,2
Emergency requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Belgium,2
Emergency requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Bolivia,1
Emergency requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Brazil,5
Emergency requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Canada,40
